Column1,Company,Description,number of samples,Category,Pt,Pd,Rh,Weight,Analysis#
92,Mazda ,5 manifold,1,3,112,3097,220,0.54,304
320,Mazda ,Sedan small,1,3,1524,0,301,0.919,877
388,Mazda ,6 good,1,2,1168,4205,473,1.428,194
389,Mazda ,6 good,2,2,958,4195,415,1.4,329
414,Mazda ,2,1,3,349,911,291,0.646,353
415,Mazda ,2,3,3,250,788,258,0.649,394
1,Mazda  ,Sedan flat,10,1,1868,17,376,0.914,296
2,Mazda  ,Sedan flat,1,1,1800,34,373,0.926,112
19,Mazda  ,Small ,10,1,420,3550,618,0.609,154
20,Mazda  ,Small,1,1,1343,20,283,0.557,44
54,Mazda  ,Sedan Big,1,1,1697,0,368,1.286,254
55,Mazda  ,Sedan Big,1,1,1557,31,287,1.22,96
87,Mazda  ,3  manifold sensor,1,1,173,3960,276,0.689,209
89,Mazda  ,3  manifold sensor,1,1,122,4060,246,0.668,38
66,Mercedes,Round best,1,2,5515,0,0,1.0081,139
67,Mercedes,Round small,1,2,4013,0,0,1.0394,137
97,Mercedes,large flat,1,2,1509,0,329,1.5,156
117,Mercedes,Flat big holes,1,1,1166,5,0,0.997,195
121,Mercedes,Flat big holes,1,1,1338,21,0,1,63
232,Mercedes,Large Round,1,2,3700,0,0,1.32,107
235,Mercedes,Large Round,1,2,3086,0,0,1.478,110
240,Mercedes,Small 3 stripes,1,1,3308,0,0,0.588,549
245,Mercedes,sensor in middle bad,1,3,91,850,436,0.86,566
251,Mercedes,Filter Big 535/492,1,2,1249,0,0,3.882,572
261,Mercedes, sensor in middle good,1,2,6040,0,0,1.02,559
365,Mercedes,S-250,1,2,3230,34,0,1.21,56
438,Mercedes,V,1,1,0,2000,429,0.959,363
440,Mercedes,long cigar,1,2,135,3447,195,1.57,343
264,Mercedes ,Filter KT 6044,1,2,6144,3096,0,0.627,926
266,Mercedes ,Filter KT 1247,1,2,2598,1063,0,2.597,927
272,Mercedes ,Filter KT 6043,1,2,1280,644,0,2.425,931
285,Mercedes ,filter KT 1247,1,2,2433,1203,0,2.76,913
95,Mitsubishi,Magnum,6,2,2492,0,26,1.735,307
142,Mitsubishi,Filter,1,2,796,13,0,3.21,485
162,Mitsubishi,Lancer,8,3,587,746,231,1.033,233
163,Mitsubishi,ears,1,3,582,608,237,1.144,232
185,Mitsubishi,Magnum,1,2,1232,28,255,1.712,176
186,Mitsubishi,Magnum,1,2,2578,0,0,1.68,221
187,Mitsubishi,Magnum,1,2,2217,0,0,1.926,582
211,Mitsubishi,Lancer small,1,3,1450,20,300,0.51,113
213,Mitsubishi,Lancer small,5,3,720,18,289,0.579,287
243,Mitsubishi,Hunter,2,2,4005,0,0,0.89,564
328,Mitsubishi,Pre manifold silver,5,3,1116,2525,654,0.35,315
352,Mitsubishi,Hunter,1,2,5722,0,0,0.919,479
353,Mitsubishi,Hunter,1,2,2612,0,0,0.94,604
387,Mitsubishi,SJ,1,1,159,4077,532,0.867,571
3,Mitsubishi ,Lancer,10,3,677,817,250,1.036,117
21,Mitsubishi ,Charisma,1,1,780,724,308,1.18,51
22,Mitsubishi ,Charisma ,5,1,711,748,294,1.19,474
38,Mitsubishi ,King,1,2,2188,23,0,2.99,87
250,Mitsubishi ,SJ Round Full,1,1,159,4077,532,0.867,571
44,Nissan ,Cast Iron med.,5,3,0,1838,405,0.5096,148
48,Nissan ,X5,1,2,1709,0,330,1.239,160
143,Nissan ,Filter,1,2,1197,11,0,2.6,484
144,Nissan ,Filter,1,2,1152,0,0,2.59,533
164,Nissan ,X2,1,2,1471,6,360,1.67,351
196,Nissan ,Navarro,1,2,5122,7,0,1.4,488
322,Nissan ,Cast Iron small,2,3,1125,34,230,0.43,312
323,Nissan ,X3 small,2,1,1518,41,337,0.813,323
324,Nissan ,X3 big,2,1,1840,37,305,0.915,324
418,Nissan ,Tiida Front,2,1,15,6440,552,0.43,272
419,Nissan ,Tiida back w/cover,3,3,1828,0,367,0.467,779
420,Nissan ,Tiida back w/cover,1,3,1142,0,226,0.445,644
421,Nissan ,Tiida back w/cover,2,3,1783,15,391,0.476,507
263,Opel ,Tri Med. GM67  ,2,2,3138,0,0,0.948,925
276,Opel ,Tri Med. GM15 AC,1,2,2156,11,414,1.083,922
296,Opel ,Tri Big GM32,1,2,3046,0,0,1.437,901
207,Opel ,Corsa,3,1,2519,0,609,0.82,527
208,Opel ,Corsa fat,1,2,11,5730,440,0.91,528
332,Opel ,Astra,4,5,1980,0,325,0.81,437
333,Opel ,Astra,1,5,2152,0,346,0.7348,83
351,Opel ,HF,2,2,1809,2755,277,1.147,174
354,Opel ,Tri Big AC,6,2,1272,929,93,1.5,713
360,Opel ,Tri Big AC,1,2,1630,0,0,1.367,147
361,Opel ,Tri Big AC,3,2,1942,0,0,1.376,367
11,Peugeot,Large Silver,1,1,0,2022,373,0.934,93
12,Peugeot,Large Silver,1,1,0,1888,466,0.925,252
49,Peugeot,Upright,5,1,1649,0,337,0.7616,140
50,Peugeot,Upright,1,1,1658,42,310,0.8055,131
57,Peugeot,Cast Iron angle,1,3,0,1864,435,0.496,760
102,Peugeot,Flat,5,1,221,6780,238,0.791,169
118,Peugeot,Flat,3,1,314,1380,272,0.901,196
122,Peugeot,Flat,1,1,1700,10,348,0.788,5
145,Peugeot,brick,1,1,72,2910,417,1.15,65
146,Peugeot,brick,5,1,1226,1270,420,1.07,278
215,Peugeot,Wide pass ,4,1,960,268,287,0.963,282
220,Peugeot,Wide pass ,1,1,1468.5,0,307.5,0.916,76
344,Peugeot,cigar w/curved ends,3,1,24,2060,306,0.95,778
372,Peugeot,Cigar S 778,3,1,24,2060,306,0.95,778
373,Peugeot,like 306,5,3,277,1862,340,0.85,309
375,Peugeot,like berlingo,5,1,369,1754,337,0.763,198
386,Peugeot,Silver small,1,3,11,1619,322,0.808,224
395,Peugeot,Manifold ///,3,3,0,6930,530,0.254,692
404,Peugeot,106,3,1,1569,245,378,0.956,293
411,Peugeot,306,1,1,1430,0,293,0.81,30
412,Peugeot,306,1,1,1830,32,350,0.74,64
428,Peugeot,418 fat cigar,2,2,0,2755,308,1.45,418
104,Peugeot ,flat w/ grate,1,1,0,2570,345,0.804,203
429,Peugeot ,415 fat cigar,1,2,0,2692,268,1.392,415
23,Renault,Big 3 stripes,1,1,42,2005,409,1.105,211
24,Renault,Big 3 stripes,2,1,0,1962,325,1.16,599
33,Renault,Clio,1,1,1691,0,367,0.83,22
39,Renault,Megane Round,1,1,393,1297,401,1.108,28
40,Renault,Megane Round,5,1,0,3935,395,1.143,292
61,Renault,Fluence C561,1,2,3760,1857,0,0.711,908
61,Renault,Fluence Carbide,1,,58,76,0,2.557,908
72,Renault,Clio,4,1,1610,50,352,0.85,241
75,Renault,Megane Old,1,1,0,2367,330,1.013,20
100,Renault,Express,5,1,1464,0,292,1.071,159
157,Renault,Megane Round,3,1,241,1327,332,1.023,513
189,Renault,Megane Flat,1,1,0,2590,350,1.2457,89
190,Renault,Megane Flat,5,1,66,1977,320,1.21,280
191,Renault,Megane Flat,5,1,512,1290,307,1.285,387
192,Renault,Megane Flat small part,5,1,957,6670,426,0.24,706
193,Renault,Megane Flat,3,1,0,2072,300,1.25,720
194,Renault,V. Big Round S,1,2,3720,0,0,1.55,677
202,Renault,Clio,2,1,1610,50,352,0.85,241
206,Renault,Kangoo,1,3,546,0,0,0.73,7
262,Renault,?Beak,1,1,0,1977,342,0.83,560
435,Renault,Megane Old,4,1,0,1816,334,1,240
441,Renault,Megan Round small,2,1,0,1222,276,1.033,494
445,Renault,Megan Round no beak,2,1,202,2167,343,0.95,707
254,Renault ,? beak,2,1,1262,1258,293,0.89,575
281,Renault ,filter,1,2,2486,2438,0,0.916,911
279,"Renault 
",Fluence 20802662R ,1,2,4164,2024,0,0.724,910
416,Rover,Cross,1,1,0,2430,295,0.91,266
417,Rover,Cross,2,1,0,2250,317,0.92,13
379,Seat,Ibiza,1,3,1420,0,264,0.83,102
413,Seat,Cordoba,1,1,0,4245,284,1.179,98
317,Sevel,round w/bars bad,1,1,1270,0,0,1.365,755
93,Sevel ,Round big,2,2,4257,17,0,1.5,305
84,Skoda ,Octavia,5,2,2482,18,0,1.44,249
85,Skoda ,Fabia,5,2,2833,13,0,1.08,250
115,Skoda ,SF,1,3,0,1233,209,0.8984,124
116,Skoda ,SF,1,3,0,1175,184,0.87,19
231,Skoda ,Fabia,1,2,4515,0,0,0.871,106
318,Skoda ,new-oval,5,1,3200,0,0,0.676,285
338,Skoda ,Fabia,3,2,4643,19,0,0.924,454
355,Skoda ,Fabia Long,2,2,0,2402,302,1.5,702
358,Skoda ,Benzene,5,1,0,4340,293,0.765,318
359,Skoda ,Benzene,5,1,0,4020,309,0.766,360
363,Skoda ,Fabia Long,4,2,0,3415,247,1.225,455
364,Skoda ,Benzene,4,1,0,3650,330,0.74,631
446,Skoda ,Benzene new,1,1,0,2023,178,0.884,802
447,Skoda ,Benzene new,1,1,0,2552,185,0.869,808
448,Skoda ,Benzene new,2,1,7,2481,182,0.861,857
330,Steel,Big ,1,6,,,,,
331,Steel,Small,1,6,,,,,
45,Subaru ,Grand Leone small,5,3,236,0,261,0.3666,149
63,Subaru ,Grand Leone small,5,3,275,41,261,0.36,466
71,Subaru ,B-4,1,2,247,6800,1805,0.572,236
81,Subaru ,Justy,2,3,877,0,309,0.49,258
321,Subaru ,Grand Leone big,10,3,312,1946,364,0.463,235
325,Subaru ,Grand Leone 1,1,2,,,,,
366,Subaru ,Grand Leone,1,2,882,3985,340.5,0.8244,74
367,Subaru ,Grand Leone,10,2,1091,8275,1065,0.617,234
368,Subaru ,Grand Leone,1,2,1368,11087,1457,0.615,184
369,Subaru ,Grand Leone,5,2,1237,9585,1555,0.632,142
370,Subaru ,Grand Leone bad,1,2,611,75,228,0.88,183
374,Subaru ,B3 front,1,1,482,5305,1320,0.363,218
383,Subaru ,B3  back Elbow,1,1,330,5160,2600,0.267,219
384,Subaru ,B3  back Elbow,4,1,384,7030,3510,0.286,237
385,Subaru ,B3  back Elbow,1,1,366,8025,2975,0.29,239
27,Suzuki,Baleno manifold ,4,1,1319,0,500,0.461,743
91,Suzuki,Baleno,1,1,140,3282,213,0.907,97
96,Suzuki,Baleno,5,1,474,2725,223,0.911,120
170,Suzuki,Baleno manifold ,1,1,1568,0,521,0.48,623
171,Suzuki,Baleno manifold ,2,1,4902,11,2110,0.396,395
242,Suzuki,bad,2,3,403,0,0,0.887,586
288,Suzuki,65J-C02,1,3,1041,0,345,0.595,916
329,Suzuki,CO6,2,3,1446,10,487,0.546,739
402,Suzuki,"no cover, single wing",1,1,182,4265,385,0.511,742
403,Suzuki,"no cover, double wing 85L-CO2",2,1,146,5337,304,0.6,827
238,Suzuki ,bad,2,3,394,0,0,0.89,547
397,Suzuki ,Square,1,1,1639,71,530,0.712,223
105,Suzuki  ,Zanke,3,3,1511,0,306,0.575,204
110,Suzuki  ,Zanke,1,3,1392,50,295,0.575,179
73,Toyota,Corolla back,1,3,1759,0,344,0.416,31
74,Toyota,Corolla front,1,1,1723,3805,555,0.479,33
159,Toyota,AD4,1,2,7200,17,0,0.788,226
160,Toyota,AD4,1,2,6652,0,0,0.78,594
176,Toyota,(),1,1,1511,31,283,1,92
177,Toyota,(),1,1,1777,30,329,1.006,161
178,Toyota,(),5,1,1415,4,275,1.034,469
225,Toyota,Corolla w/ cover ,1,1,2325,29,424,0.63,91
244,Toyota, manifold,1,1,2936,0,612,0.51,565
269,Toyota, X18,1,1,2413,0,451,0.657,929
425,Toyota,flat big (),1,2,1777,0,365,1.538,321
430,Toyota,Camry,1,1,4417,13,641,0.52,378
449,Toyota,CE8,1,3,151,1788,307,0.285,835
179,Toyota ,w/o cover,3,1,3092,11,618,0.68,316
180,Toyota ,w/ cover,5,1,2043,10,384,0.68,317
181,Toyota ,Yaris,1,1,1846,3532,640,0.373,36
182,Toyota ,Corolla back,1,1,1634,0,328,0.431,413
183,Toyota ,Corolla front,1,1,2159,2665,615,0.503,414
184,Toyota ,Pair,10,1,1940,1987,512,0.894,118
246,Toyota ,manifold long,1,2,1889,1828,2702,0.727,567
247,Toyota ,manifold,1,1,1351,2025,1305,0.73,568
248,Toyota ,manifold,1,1,742,2655,530,0.533,569
270,Toyota ,HA2,2,2,3590,0,733,0.985,930
286,Toyota ,AB3 ,3,3,914,884,0,1.074,914
340,Toyota ,Avensis,1,1,4638,0,643,0.41,275
99,Unknown,DK 8 holes,1,3,1428,0,293,0.809,158
103,Unknown,DK 8 holes,5,3,1298,19,262,0.828,187
195,Unknown,Chupchik,1,2,1527,847,0,2.95,534
252,Unknown,Filter small,3,2,1408,0,0,2.1,573
371,Unknown,HAA9,1,3,1048,25,221,0.89,86
212,Volvo,Small + steel,1,1,306,4410,338,0.717,114
311,Volvo,Fattest,1,2,2389,0,505,1.89,750
399,Volvo,Steel big,1,2,284,4122,291,0.8389,126
400,Volvo,Steel long single block,1,1,42,3418,351,0.757,167
401,Volvo,Steel long single block,1,1,282,5195,336,0.684,289
68,Volvo ,Large,1,2,245,7280,263,1.48,175
94,Volvo ,Fat,1,2,265,7480,239,2.09,306
188,Volvo ,SF,1,1,2015,73,405,0.93,185
10,VW,Golf Benzene  (SoAfr),1,1,0,3585,304,1.17,95
31,VW,Manifold pre,5,3,0,1829,176,0.27,330
32,VW,Manifold pre,1,3,0,1792,179,0.275,373
51,VW,Polo,5,3,1693,37,0,0.572,173
62,VW,Filter ,1,2,5938,3890,0,0.838,918
62,VW,Filter Carbide,1,,433,231,0,3.89,918
101,VW,Shuttle,5,2,2348,0,0,2.671,168
155,VW,L,2,3,8,2097,488,0.688,511
156,VW,L,3,3,20,2104,475,0.668,563
205,VW,Golf Benzene  (SoAfr),1,2,24,3404,296,1.17,4
218,VW,New Golf,5,1,3200,0,0,0.63,285
226,VW,Seat Cordoba,1,1,0,4245,284,1.179,98
229,VW,Narrow  Golf,1,1,1420,0,264,0.83,102
230,VW,Golf benzene Germany,1,2,0,4685,310,1.116,105
233,VW,Shuttle,1,2,2115,0,0,2.588,108
237,VW,L pre,1,3,0,2962,314,0.2685,546
,VW,small pre manifold,5,3,0,1829,176,0.27,330
,VW,small pre manifold,1,3,0,1792,179,0.275,373
356,VW,Golf benzene Germany,2,2,115,4545,297,1.18,703
357,VW,Golf benzene Germany,1,2,0,4480,239,1.2,705
427,VW,GTI pre,3,3,0,3022,286,0.401,700
433,VW,Filter Golf 1600 Turbo,1,1,806,455,0,2.35,536
434,VW,Filter Golf 1600 Turbo,1,1,739,399,0,2.43,493
133,VW ,pre,3,3,0,3022,286,0.4,700
341,VW ,cigar w/curved ends,2,1,0,2502,121,0.829,477
342,VW ,cigar w/curved ends,1,1,0,2680,121,0.89,489
343,VW ,cigar w/curved ends,1,1,0,2932,136,0.81,553
76,,,,,,,,,
265,,,1,,0,0,0,2.344,926
267,,,1,,1562,787,0,1.69,927
271,Mercedes,KT6043,0,2,7491,3783,0,0.631,931/1
280,,,1,,59,65,0,2.53,910
282,,,1,,55,64,0,1.857,911
284,,,1,2,4710,2263,0,0.91,913
398,,,,,,,,,
442,,,,,,,,,497
443,,,,,,,,,461
451,Volvo ,fat + steel,1,1,2518,124,502,1.04,602
452,VW,Golf 1800,1,2,0,4245,284,1.18,98
453,Mazda,6 bad,2,2,190,4522,615,1.098,509
454,Mazda,6 bad,2,2,472,3785,399,1.2,510
455,Isuzu,Dmax pair,2,1,447,1933,426,1.27,319
456,Honda,Accord,3,1,1018,2074,294,1.197,242
457,Toyota ,manifold,1,1,1045,427,980,0.739,81
458,Toyota ,manifold,1,1,1498,1700,1387,0.679,82
459,Fiat,medium 3 stripes,1,1,0,2000,334,1.259,43
460,KIA,small cast half cover,1,1,0,7090,279,0.275,355
